determining clay content for run /geodata/weppcloud_runs/clear-cut-blast
2020-06-17 15:45:37.089929

mukey=153380, cokey=17447469, clay=15.0
mukey=153445, cokey=16460629, clay=15.0
mukey=153510, cokey=17447593, clay=15.0
mukey=153479, cokey=17447542, clay=15.0
mukey=153449, cokey=16460633, clay=15.0
mukey=153451, cokey=17447506, clay=15.0
mukey=153452, cokey=16460638, clay=15.0
mukey=153456, cokey=15805627, clay=15.0
mukey=153458, cokey=17447516, clay=15.0
mukey=153460, cokey=17447518, clay=15.0
mukey=153481, cokey=17447546, clay=15.0
mukey=153496, cokey=17447570, clay=14.0
mukey=153433, cokey=17447480, clay=15.0
mukey=153370, cokey=17447467, clay=15.0
mukey=153435, cokey=17447482, clay=15.0
mukey=153349, cokey=17447804, clay=6.0
